TAG,SHEET_NO,PAGE,OCCURRENCES
AIT-1001,DM-PNT1C01-UW-A20-010005,5,2
AIT-1005,DM-PNT1C01-UW-A20-010006,6,2
AIT-1009,DM-PNT1C01-UW-A20-010001,1,1
AIT-2001,DM-PNT1C01-UW-A20-010002,2,2
AIT-2002,DM-PNT1C01-UW-A20-010006,6,2
AIT-2006,DM-PNT1C01-UW-A20-010002,2,2
AIT-2007,DM-PNT1C01-UW-A20-010007,7,1
AIT-2011,DM-PNT1C01-UW-A20-010001,1,2
AIT-2012,DM-PNT1C01-UW-A20-010005,5,1
AIT-3001,DM-PNT1C01-UW-A20-010006,6,2
AIT-3002,DM-PNT1C01-UW-A20-010001,1,1
AIT-3005,DM-PNT1C01-UW-A20-010002,2,1
AIT-3005,DM-PNT1C01-UW-A20-010007,7,1
AIT-3006,DM-PNT1C01-UW-A20-010004,4,2
AIT-3009,DM-PNT1C01-UW-A20-010003,3,1
AIT-4001,DM-PNT1C01-UW-A20-010004,4,2
AIT-4002,DM-PNT1C01-UW-A20-010001,1,1
AIT-4005,DM-PNT1C01-UW-A20-010001,1,1
AIT-4006,DM-PNT1C01-UW-A20-010007,7,2
AIT-5001,DM-PNT1C01-UW-A20-010002,2,1
AIT-5002,DM-PNT1C01-UW-A20-010003,3,1
AIT-5003,DM-PNT1C01-UW-A20-010003,3,1
AIT-5006,DM-PNT1C01-UW-A20-010004,4,1
AIT-5007,DM-PNT1C01-UW-A20-010003,3,2
AIT-5008,DM-PNT1C01-UW-A20-010003,3,1
AIT-6001,DM-PNT1C01-UW-A20-010008,8,1
AIT-6002,DM-PNT1C01-UW-A20-010002,2,1
AIT-6006,DM-PNT1C01-UW-A20-010006,6,1
AIT-6007,DM-PNT1C01-UW-A20-010004,4,1
AIT-7001,DM-PNT1C01-UW-A20-010003,3,1
AIT-7002,DM-PNT1C01-UW-A20-010005,5,1
AIT-7005,DM-PNT1C01-UW-A20-010006,6,1
AIT-7006,DM-PNT1C01-UW-A20-010001,1,1
FIT-1003,DM-PNT1C01-UW-A20-010005,5,1
FIT-1007,DM-PNT1C01-UW-A20-010002,2,2
FIT-1011,DM-PNT1C01-UW-A20-010005,5,1
FIT-2004,DM-PNT1C01-UW-A20-010004,4,1
FIT-2009,DM-PNT1C01-UW-A20-010004,4,1
FIT-2014,DM-PNT1C01-UW-A20-010007,7,1
FIT-3004,DM-PNT1C01-UW-A20-010001,1,1
FIT-3008,DM-PNT1C01-UW-A20-010006,6,1
FIT-5005,DM-PNT1C01-UW-A20-010008,8,2
FIT-5010,DM-PNT1C01-UW-A20-010001,1,1
FIT-6004,DM-PNT1C01-UW-A20-010006,6,1
FIT-6004,DM-PNT1C01-UW-A20-010007,7,1
FIT-6009,DM-PNT1C01-UW-A20-010007,7,1
LIT-2005,DM-PNT1C01-UW-A20-010008,8,2
LIT-2010,DM-PNT1C01-UW-A20-010007,7,1
LIT-2015,DM-PNT1C01-UW-A20-010006,6,2
LIT-4003,DM-PNT1C01-UW-A20-010003,3,1
LIT-4007,DM-PNT1C01-UW-A20-010004,4,1
LIT-7004,DM-PNT1C01-UW-A20-010002,2,1
LIT-7008,DM-PNT1C01-UW-A20-010003,3,2
PIT-1002,DM-PNT1C01-UW-A20-010007,7,1
PIT-1006,DM-PNT1C01-UW-A20-010005,5,1
PIT-1010,DM-PNT1C01-UW-A20-010003,3,2
PIT-2003,DM-PNT1C01-UW-A20-010004,4,1
PIT-2008,DM-PNT1C01-UW-A20-010008,8,2
PIT-2013,DM-PNT1C01-UW-A20-010008,8,1
PIT-3003,DM-PNT1C01-UW-A20-010004,4,1
PIT-3007,DM-PNT1C01-UW-A20-010007,7,1
PIT-5004,DM-PNT1C01-UW-A20-010006,6,2
PIT-5009,DM-PNT1C01-UW-A20-010002,2,1
PIT-6003,DM-PNT1C01-UW-A20-010005,5,1
PIT-6008,DM-PNT1C01-UW-A20-010006,6,1
PIT-7003,DM-PNT1C01-UW-A20-010005,5,1
PIT-7007,DM-PNT1C01-UW-A20-010002,2,1
TIT-1004,DM-PNT1C01-UW-A20-010007,7,1
TIT-1008,DM-PNT1C01-UW-A20-010005,5,1
TIT-1012,DM-PNT1C01-UW-A20-010008,8,1
TIT-4004,DM-PNT1C01-UW-A20-010008,8,1
TIT-4008,DM-PNT1C01-UW-A20-010008,8,2
TIT-6005,DM-PNT1C01-UW-A20-010001,1,1
TIT-6010,DM-PNT1C01-UW-A20-010008,8,1
